"referencia","autor","titulo","tipoUsuario","sector","año","link"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Durango","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175899/durango_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Estado de México","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/166588/estado_de_mexico_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Guanajuato","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/166589/guanajuato_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Guerrero","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175902/guerrero_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Hidalgo","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/166591/hidalgo_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Jalisco","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175904/jalisco_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Michoacán","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175905/michoacan_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Morelos","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/157484/morelos_2016_1013.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Nayarit","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175907/nayarit_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Nuevo León","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/154408/nuevo_leon_2016_1013.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Oaxaca","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175909/oaxaca_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Puebla","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175910/puebla_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Querétaro","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175911/queretaro_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Quintana Roo","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/152025/quintana_roo_2016_0923.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - San Luis Potosí","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/166601/san_luis_potosi_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Sinaloa","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175914/sinaloa_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Sonora","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175915/sonora_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Tabasco","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175916/tabasco_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Tamaulipas","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175917/tamaulipas_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Tlaxcala","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175918/tlaxcala_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Veracruz","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/157949/veracruz_2016_1024.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Yucatán","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/166608/yucatan_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Zacatecas","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175921/zacatecas_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Nelly Toche","En busca de un vínculo ?con la ciudadanía","Privado","Privado",2016,"https://www.eleconomista.com.mx/arteseideas/En-busca-de-un-vinculo-con-la-ciudadania-20160125-0031.html"
"Índice nacional de ciencia, tecnología e innovación 2015","Universidad Autónoma “Benito Juárez” de Oaxaca Centro de Evaluación e Innovación Educativa:
Escuela de Economía","Plan de estudios de la Maestría en Proyectos Productivos Sustentables","Académico","Público",2016,"https://transparencia.uabjo.mx/obligaciones/economia/articulo-75/fraccion-1/75-1-300-maestria-en-proyectos-productivos-sustentables-2017.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Educación Pública SEP","Estadística Educativa por Entidad Federativa 2015 - 2016 - Secretaría de Educación Pública SEP","Gubernamental","Público",2016,"https://observatorio-social-economico-mexico.blogspot.com/2016/11/estadistica-educativa-por-entidad.html"
"Índice nacional de ciencia, tecnología e innovación 2015","Rubí Alejandra Medina Mijangos","Análisis comparativo del sector logístico entre la región de Yucatán, México y la Comunidad Autónoma de Aragón con referencia a la metodología de Estrategias de Investigación e Innovación para la Especialización Inteligente (RIS3)","Académico","Privado",2016,"https://upcommons.upc.edu/bitstream/handle/2117/96887/MEMORIA_RUBI_MEDINA.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Observatorio Social y Econóico de Yucatán","Minimonografía de Yucatán. Censos Económicos 2014 INEGI","Privado","Privado",2016,"https://observatorio-social-economico-yucatan.blogspot.com/2016/08/minimonografia-de-yucatan-censos.html"
"Índice nacional de ciencia, tecnología e innovación 2015","José Alejandro Montemayor Montemayor - Centro de Estudios de las Finanzas Públicas de la Cámara de Diputados","Factores que inciden en la productividad y competitividad en las entidades federativas de México","Académico","Público",2017,"https://cefp.gob.mx/transp/CEFP-CEFP-70-41-C-Estudio-PCF-041017.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Revista Cimexus","La innovación en el comercio exterior de San Luis Potosí","Privado","Privado",2017,"https://www.academia.edu/78537142/La_innovación_en_el_comercio_exterior_de_San_Luis_Potosí"
"Índice nacional de ciencia, tecnología e innovación 2015","Jacobo Tolamatl Michcol, José Antonio Varela Loyola y David Gallardo García - Universidad Politécnica de Tlaxcala","La competitividad de la manufactura del sector autopartes en Tlaxcala: Modelo para el desarrollo","Académico","Privado",2017,"https://www.ecorfan.org/libros/BOOK_TX.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Mario López López y Edna Marpia Villarreal Peralta","Aproximaciones a la medición del sistema de innovación en México","Académico","Privado",2017,"https://www.uam.mx/altec2017/pdfs/ALTEC_2017_paper_109.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Universidad Autónoma del Estado de Hidalgo","Hidalgo: Desafíos del desarrollo","Académico","Privado",2017,"https://repository.uaeh.edu.mx/books/164/hd.pdf#page=14"
"Índice nacional de ciencia, tecnología e innovación 2015","Liliana Aguilar Armendáriz y Martha Fabiola Rivera García","La innovación en el comercio exterior de
San Luis Potosí","Académico","Privado",2017,"https://dialnet.unirioja.es/descarga/articulo/6153679.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Fondo mixto CONACYT-Gobierno del estado de Nuevo León","Fortalecimiento de infraestructura para divulgación de la ciencia y la tecnología","Gubernamental","Público",2017,"https://secihti.mx/wp-content/uploads/convocatorias/fondos_mixtos/nuevo_leon/2017_02_FOMIX_Nuevo_Leon/FOMIX_NUEVO_LEON_DEMANDA_ESPECIFICA_2017-02.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","María Angélica Cerdán; Marco Antonio Moreno; Jorge Rafael Aguilar; Luis Alfonso Ramírez","Strategic Reference Framework to Promote ICT Industry Innovation at the State of Querétaro, México","Académico","Privado",2017,"https://ieeexplore.ieee.org/abstract/document/8337951/authors#authors"
"Índice nacional de ciencia, tecnología e innovación 2015","Delegación Federal en el Estado de San Luis Potosí","Informe 2017 - 2018","Gubernamental","Público",2017,"https://www.gob.mx/cms/uploads/attachment/file/397954/24_San_Luis_Potos__InformeActividades_2017_2018.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Elizabeth Hernández Mesa, Humberto Banda Ortiz, Martha July Mora Haro","Aproximación teórica de los indicadores que permitan evaluar el impacto social de la ciencia y la tecnología en el sector automotriz en Querétaro","Académico","Privado",2017,"https://www.riico.net/index.php/riico/article/download/1476/1137"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Zacatecas","Programa especial de ciencia, tecnología e innovación del estado de Zacatecas 2017-2021","Gubernamental","Público",2017,"https://pbr-sed.zacatecas.gob.mx/wp-content/uploads/2020/02/PECITI-2017-2021.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Manuel Iván Girón Pérez, Aline Viridiana Huerta Hernández y Beatriz Quintero Hernández","Ciencia en Nayarit, a 100 años de la creación del estado: antecedentes históricos, situación actual, retos y perspectivas","Privado","Privado",2017,"https://www.revistaciencia.amc.edu.mx/images/revista/68_3/PDF/actualidad.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Enrique Agustín Ruiz Flores","Deserción escolar en el plantel Celaya III del subsistema CECYTE Guanajuato","Académico","Privado",2017,"https://es.scribd.com/document/444165225/Investigacion-en-la-Educacion-Superior-Eje-de-Competencias-Tomo-12-2017-pdf#content=query:caiinno,pageNum:93,indexOnPage:0,bestMatch:false"
"Índice nacional de ciencia, tecnología e innovación 2015","Diario de Debates de la Cámara de Diputados","Apéndice V: Continuación del Apéndice IV de la Sesión 35 del 14 de diciembre de 2017","Gubernamental","Público",2017,"https://cronica.diputados.gob.mx/PDF/63/2017/dic/171214-32.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","María Eloísa Talavera Hernández - Gaceta Parlamentaria de la Cámara de Diputados","Que adiciona el artículo 6o. de la Ley de la Propiedad Industrial, recibida de la diputada María Eloísa Talavera Hernández, del Grupo Parlamentario del PAN, en la sesión de la Comisión Permanente del miércoles 16 de mayo de 2018","Legislativo","Público",2018,"https://gaceta.diputados.gob.mx/PDF/63/2018/may/20180521.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Sistema de Información Legislativa de la Secretaría de Gobernación (SIL)","Iniciativa con Proyecto de Decreto por el que se adiciona un inciso g) a la fracción XII del artículo 6o. de la
Ley de la Propiedad Industrial","Legislativo","Público",2018,"https://sil.gobernacion.gob.mx/Archivos/Documentos/2018/05/asun_3713788_20180516_1525809885.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Teresita Elisa Ruiz Pantoja","La movilidad cotidiana dentro de la zona metropolitana del Valle de México: Cómo, a dónde y a qué hora","Privado","Privado",2018,"https://maroconsultoriaycapacitacion.wordpress.com/category/demografia/"
"Índice nacional de ciencia, tecnología e innovación 2015","Elizabeth Hernández Mesa, Humberto Banda Ortiz y Martha July Mora Haro - Repositorio de la Red Internacional de Investigadores en Competitividad","Aproximación teórica de los indicadores que permitan evaluar el impacto social de la ciencia y la tecnología en el sector automotriz en Querétaro","Académico","Privado",2018,"https://www.riico.net/index.php/riico/article/view/1476/1137"
"Índice nacional de ciencia, tecnología e innovación 2015","María Eloísa Talavera Hernández - Comisión de Economía de la Cámara de Diputados","Iniciativa con Proyecto de Decreto por el que se adiciona un inciso g) a la fracción XII del artículo 6o. de la Ley de la Propiedad Industrial","Legislativo","Público",2018,"https://www.senado.gob.mx/66/gaceta_del_senado/documento/80999"
"Índice nacional de ciencia, tecnología e innovación 2015","Elia Martínez y Guillermo de la Torre Gea- International Journal of Trend in Scientific Research and Development (IJTSRD)","Analysis of the ICT user Profile for e-goverment through Bayesian Networks","Académico","Privado",2018,"https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://zenodo.org/record/3572137/files/18%2520Analysis%2520of%2520the%2520ICT%2520User%2520Profile%2520for%2520eGoverment%2520through%2520Bayesian%2520Networks.pdf%3Fdownload%3D1&ved=2ahUKEwjC0_PR8sSOAxURI0QIHe3xCLI4UBAWegQIExAB&usg=AOvVaw0QJ32VpsJuuZsjXNSbsIxA"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Jalisco","Jalisco a futuro 2018-2030","Gubernamental","Público",2018,"https://www.researchgate.net/profile/Patricia-Vargas-Becerra/publication/389369669_Jalisco_a_futuro_2018-2030_Construyendo_el_porvenir_Vol_I_Diagnosticos/links/685975c193040b17338cb8de/Jalisco-a-futuro-2018-2030-Construyendo-el-porvenir-Vol-I-Diagnosticos.pdf#page=284"
"Índice nacional de ciencia, tecnología e innovación 2015","Consejo Nacional de Ciencia y Tecnología (CONACYT)","Diagnóstico y Diseño del Programa Presupuestario S278, “Fomento Regional de las Capacidades Científicas, Tecnológicas y de Innovación”","Gubernamental","Público",2018,"https://secihti.mx/wp-content/uploads/planeacion_y_evaluacion/evaluacion_programas_conacyt/Diseno/2_Diagnstico_y_Diseo_del_Pp_S278__vprel_7mar18.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Colima","La Agenda Digital Colima “Impulsando la Inclusión y el Desarrollo de la Sociedad”","Gubernamental","Público",2018,"https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_5bfecd1c03dbe_AgendaDigitalColima.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Juan Óscar Ollivier Fierro, Pedro Javier Martínez Ramos e Isidro Domínguez Alcaraz - Investigación Administrativa","Madurez tecnológica e innovación en empresas mexicanas","Académico","Privado",2018,"https://www.redalyc.org/articulo.oa?id=456067615009"
"Índice nacional de ciencia, tecnología e innovación 2015","Consejo Nacional de Ciencia y Tecnología (CONACYT)","Diagnóstico y Diseño del Programa Presupuestario S278, “Fomento Regional de las Capacidades Científicas, Tecnológicas y de Innovación”","Gubernamental","Público",2018,"https://secihti.mx/wp-content/uploads/planeacion_y_evaluacion/evaluacion_programas_conacyt/Diseno/2_Diagnstico_y_Diseo_del_Pp_S278__vprel_7mar18.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Cynthia Alejandra Rueda Contreras, Karla Paola Jiménez Almaguer y Joel Mendoza Gómez - Revista de Estudios en Contaduría, Administración e Informática (RECAI)","Efecto del empowerment grupal en la proactividad. Un estudio empírico en equipos de I+D de Universidades Tamaulipecas","Académico","Público",2018,"https://www.redalyc.org/journal/6379/637968306001/637968306001.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","María Esther Olán Izquierdo - Tecnológico Nacional de México","Análisis de la productividad de las empresas dedicadas al manejo integral de residuos del municipio del centro del Estado de Tabasco para una propuesta de desarrollo","Académico","Privado",2018,"https://rinacional.tecnm.mx/bitstream/TecNM/3150/1/TESIS.%20MARIA%20ESTHER%20OLAN%20IZQUIERDO.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Carolina Olvera Castillo - Capítulo del libro Género, ciencia y tecnología en las políticas públicas mexicanas","San Luis Potosí: De los rebozos a la industria automotriz","Académico","Público",2018,"https://www.academia.edu/41900462/San_Luis_Potos%C3%AD_De_los_rebozos_a_la_industria_automotriz"
"Índice nacional de ciencia, tecnología e innovación 2015","Milagros Cano Flores, Oscar González Muñoz y Verónica Velázquez Romero - Red Iberoamericana de Academias de Investigación (Red IBAI)","Reflexiones sobre desarrollo empresarial","Privado","Privado",2018,"https://redibai-myd.org/portal/wp-content/uploads/2019/03/reflexiones-sobre-desarrollo-empresarial-17-3.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Daniel Ulices Peralta, Jorge Marcial Rodríguez Saldaña y Cinthya Citlali Díaz Fuentes - Universidad Autónoma de Guerrero","La reforma político-electoral de 2014 y su vinculación con el derecho humano al acceso a la ciencia, tecnología e innovación en México","Académico","Privado",2018,"https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://edulab.es/revSOCIAL/article/download/1985/1242/6902&ved=2ahUKEwiMpa731taOAxX9le4BHcagDss4ChAWegQIJRAB&usg=AOvVaw1VKN8RV-312LmsCQm2wH3o"
"Índice nacional de ciencia, tecnología e innovación 2015","Instituto Nacional de Astrofísica, Óptica y Electrónica Puebla (IANOEP)","Agenda de prioridades en educación superior, ciencia, tecnología e innovación para el estado de Puebla","Gubernamental","Público",2018,"https://www.inaoep.mx/archivos/marconormativo/AgendaPrioridadesPuebla2018.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Daniel Eduardo Paz Perez - Instituto Tecnológico Superior de El Mante","Tamaulipas en la I+D+I, una experiencia regional","Académico","Público",2018,"https://www.academia.edu/40941942/Tamaulipas_en_la_I_D_i_una_experiencia_regional"
"Índice nacional de ciencia, tecnología e innovación 2015","Facultad de Ingeniería Eléctrica y Electrónica - Universidad Veracruzana","Plan de Desarrollo de las Entidades Académicas PLADEA 2017-2021","Académico","Privado",2018,"https://www.uv.mx/planeacioninstitucional/files/2019/07/PLADEA_Fac_Ing-Elect_Elect_Ver-R.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Consejo Nacional de Ciencia y Tecnología (CONACYT), Fondos Mixtos (FOMIX) e Hidalgo crece contigo","Fortalecimiento de infraestructura científica y tecnológica en telecomunicaciones","Gubernamental","Público",2018,"https://secihti.mx/wp-content/uploads/convocatorias/fondos_mixtos/hidalgo/2018-03_fomix/FOMIX_HIDALGO_DEMANDA%20ESPECÍFICA_2018-03.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Facultad de medicina - Benemérita Universidad Autónoma de Puebla (BUAP)","Programa Académico de: Especialidad En Medicina Del Trabajo Y Ambiental","Académico","Público",2019,"https://mederi.buap.mx/portal/public/posgrado/Programas_academicos_especialidades/MEDICINA_DEL_TRABAJO_Y_AMBIENTAL_2019.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Veracruz","Plan Veracruzano de Desarrollo 2019 - 2024","Gubernamental","Público",2019,"https://www.segobver.gob.mx/siptransparencia/adjuntos/20190702151156-1128574316.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Veracruz","Plan Veracruzano de Desarrollo 2019 - 2024","Gubernamental","Público",2019,"https://es.scribd.com/document/413676005/PVD-2019-2024#content=query:caiinno,pageNum:274,indexOnPage:1,bestMatch:false"
"Índice nacional de ciencia, tecnología e innovación 2015","Comisión de Selección del Comité de Participación Ciudadana del Sistema Estatal Anticorrupción
Presente (Sonora)","Exposición de Motivos","Gubernamental","Público",2019,"http://intranet.congresoson.gob.mx:82/Publico/Documento/21369"
"Índice nacional de ciencia, tecnología e innovación 2015","Eugenio Herrera Nuño - Lider Empresarial","¿Qué tanto están innovando en Aguascalientes? El apunte","Privado","Privado",2019,"https://www.liderempresarial.com/que-tanto-esta-innovando-aguascalientes-el-apunte/"
"Índice nacional de ciencia, tecnología e innovación 2015","Olivia Leyva Muñoz, Juan Russo, Edilberto Gallardo Valente - EÓN Sociales","Los jóvenes, ¿un mundo aparte?
Educación, desempleo
y violencia en el México
contemporáneo","Académico","Privado",2019,"https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.academia.edu/40692979/LOS_J%25C3%2593VENES_UN_MUNDO_APARTE&ved=2ahUKEwjjqOnP9OeOAxWUnGoFHVUfEJM4ChAWegQIHRAB&usg=AOvVaw1Ur9VJ9JadxntXE37KiTWO"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Tabasco","Plan estatal de Desarrollo 2019 - 2024","Gubernamental","Público",2019,"https://tabasco.gob.mx/sites/default/files/users/userspftabasco/PLED-2019-2024-Decreto-101-2019.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","InterNaciones","InterNaciones Año 6 Número 17","Privado","Privado",2019,"DOI: 10.32870/in.v0i17"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del de Morelos","Plan Estatal de Desarrollo 2019 - 2024.","Gubernamental","Público",2019,"https://periodico.morelos.gob.mx/periodicos/2019/5697_2A.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del de Morelos","Plan Estatal de Desarrollo 2019 - 2024.","Gubernamental","Público",2019,"https://transparenciamorelos.mx/sites/default/files/plan_estatal_de_desarrollo_2019-2024_opt_0.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del estado de Colima","La Agenda Digital Colima “Impulsando la Inclusión y el Desarrollo de la Sociedad”","Gubernamental","Público",2019,"https://periodicooficial.col.gob.mx/p/02112019/sup06/619110201.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobiereno del Estado de Tabasco","Informe de la Gestión Gubernamental 2019: Consideraciones Previas","Gubernamental","Público",2019,"https://publicacionperiodico.tabasco.gob.mx/documento/1369/firmado_qr.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Estefany Daniela Rodríguez","La cooperación tecnológica entre start-ups de Israel y Jalisco para el fortalecimiento de la innovación y el desarrollo local del estado","Académico","Privado",2019,"https://internaciones.cucsh.udg.mx/index.php/inter/article/view/7124"
"Índice nacional de ciencia, tecnología e innovación 2015","Consejo Estatal de Ciencia y
Tecnología de Jalisco","Reglas de Operación del Programa
Apoyo a la Ciencia, Tecnología e
Innovación 2019","Gubernamental","Público",2019,"https://www.coecytjal.org.mx/Plataforma/ArchivosApoyo/ROP%20-%20COECYTJAL_2019%20CON%20ANEXOS.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Jalisco","Plan Estatal de Gobernanza y Desarrollo de Jalisco 2018 - 2024","Gubernamental","Público",2019,"https://uniondetula.gob.mx/filetransparencia/Articulo_8/Fraccion_III/c/Plan%20Estatal%20de%20Gobernanza%20y%20Desarrollo%20de%20Jalisco%20-%202018-2024%20Anexo%202.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Jalisco","Plan Estatal de Gobernanza y Desarrollo de Jalisco 2018 - 2024","Gubernamental","Público",2019,"https://plan.jalisco.gob.mx/wp-content/uploads/2022/08/Diagnostico.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Jalisco","Plan Estatal de Gobernanza y Desarrollo de Jalisco 2018 - 2024","Gubernamental","Público",2019,"https://transparencia.info.jalisco.gob.mx/sites/default/files/PEGyD_0.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Morelos","Plan estatal de Desarrollo 2019 - 2024","Gubernamental","Público",2019,"https://transparenciamorelos.mx/sites/default/files/plan_estatal_de_desarrollo_2019-2024_0.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Zacatecas","Plan Municipal de Desarrollo 2019-2021","Gubernamental","Público",2019,"https://gaceta.capitaldezacatecas.gob.mx/wp-content/uploads/2019/01/PMD-2019-2021.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Adrián Augusto López Hernández","Proyecto Rescatemos Tabasco 2019 - 2024 Juntos Haremos Historia","Gubernamental","Público",2019,"https://uiet.edu.mx/docs/pdi/2019/MaterialPI/DiversasConsultas/3ProyectoGobierno2019_2024Cam.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Consejo Estatal de Ciencia y Tecnología de Jalisco","Reglas de Operación del Programa Apoyo a la Ciencia, Tecnología e Innovación 2019","Gubernamental","Público",2019,"https://www.coecytjal.org.mx/Plataforma/ArchivosApoyo/ROP%20-%20COECYTJAL_2019%20CON%20ANEXOS.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","María Teresa Prieto Quezada, Tanya Méndez Luévano y Esperanza Bosch Fiol","Violencia de género de lo social a espacios universitarios","Académico","Privado",2020,"https://www.researchgate.net/profile/Tanya-Mendez-Luevano-2/publication/344304443_Violencia_de_genero-2/links/5f6506ec458515b7cf3eb972/Violencia-de-genero-2.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Gobierno del Estado de Veracruz","Agenda 2030 Veracruz: Ruta de Implementación","Gubernamental","Público",2020,"https://repositorio.veracruz.gob.mx/wp-content/uploads/sites/4/files/agenda2030/A2030_RUTA_DE_IMPLEMENTACION_FINAL.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Juan Óscar Ollivier Fierro, Pedro Javier Martínez Ramos e Isidro Domínguez Alcaraz","Madurez tecnológica e innovación en empresas mexicanas","Académico","Privado",2020,"https://www.scielo.org.mx/pdf/ia/v50n128/2448-7678-ia-50-128-00009.pdf"
